Assigned_to_Group,Category,Item,Summary,Resolution,Support_Diary,Notes,Work_Log,1CApp_Name,row_count
AVMPMO_L2,AVM PMO,Reports issue in AVM PMO,AVM PMO - Reports issue in AVM PMO,,"597603 1/14/2019 4:10:14 PM  WIP  SRI RAM    625820 1/14/2019 4:05:59 PM  Hi  Team,  Please change the status of the SO 30989171  to '1.2 Pending Demand Validation'  Regards AVMTechdesk  Keerthana G S   ",Please change the status of the SO 30989171  to '1.2 Pending Demand Validation',597603 1/14/2019 4:11:21 PM   status of the SO 30989171 updated to '1.2 Pending Demand Validation'  SRI RAM   ,AVMPMO,1
L1 (AVM Tools & Portals),AppLens,Unable to view the Account name in the drop down,Unable to view the Account name in the drop down in AppLens,"Dear Dineshraja ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033486961  Request:  We understand from your description that,Unable to view the Account name in the drop down in AppLens   Resolution:  Please be informed that,As discussed in skype, 1000226512 this project was not onboarded to applens. kindly navigate to https://applens.cognizant.com  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",675017 1/14/2019 12:49:51 PM  //  Dhilip Kumar    675017 1/14/2019 12:29:13 PM  //  Dhilip Kumar    625820 1/14/2019 11:48:38 AM  Progress  Keerthana G S    437595 1/14/2019 9:32:19 AM  Wip  Vijayalakshmi A    673898 1/11/2019 5:19:15 PM  a  Subhashini S   ,"I am part of two projects in two different accounts. I am not able to see the other account in Applens. Please help. Previous refernce - INC000029009799  Thanks, Dinesh","675017 1/14/2019 12:52:46 PM  Dear Dineshraja ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033486961  Request:  We understand from your description that,Unable to view the Account name in the drop down in AppLens   Resolution:  Please be informed that,As discussed in skype, 1000226512 this project was not onboarded to applens. kindly navigate to https://applens.cognizant.com  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.  Dhilip Kumar    1CAPP 1/14/2019 11:48:09 AM  i am allocated to one account and also the esa pm of another account as specified earlier. can you please advise further? i am available between 12 – 9 ist today.  Dineshraja K Venkatesan    675017 1/14/2019 10:08:05 AM  Dear Dineshraja ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033486961  Request:  We understand from your description that,Unable to view the Account name in the drop down in AppLens   Resolution:  Please be informed that,As we try to reach you through skype , but you are not available. As checked from our end ,you were allocated to the project -1000196292,hence you were able to view only 1 account in AppLens.  Please note,if you are allocated in another project also,please share us the screenshot of the allocated project to check from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.  Dhilip Kumar    SSOneC1697PROD 1/13/2019 6:53:36 PM  Hi Team, I am allocated to BT allium but also the ESA PM for the project Project              :1000226512 Project Name         :News Am-NAM Managed Services-M. This is not visible in Applens. Please help.  Dineshraja K Venkatesan    1CAPP 1/13/2019 6:38:06 PM  hi team, i am allocated to bt allium but also the esa pm for the project project              :1000226512 project name         :news am-nam managed services-m. this is not visible in applens. please help.  Dineshraja K Venkatesan    673898 1/11/2019 7:04:11 PM  Dear Dineshraja ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033486961  Request:  We understand from your description that,Unable to view the Account name in the drop down in AppLens   Resolution:  Please be informed that, as checked from our end ,you were allocated to the project -1000196292,hence you were able to view only 1 account in AppLens.  Please note,if you are allocated in another project also,please share us the screenshot of the allocated project to check from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S   ",Applens,2
L1 (AVM Tools & Portals),AppLensLite,How to unfreeze timesheet,Unable to unfreeze the DART timesheet for holiday,"Hi Vignesh,  Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033484160""  Issue Description: Facing issues in App Lens Approve/unfreeze screen  Information Provided:   As discussed on Skype, please be informed that we request you to select the date from calendar picker and unfreeze/approve the timesheet since we are facing issues in graph and when you click on graph, it will show 2018 data.  Our technical team is working on the same and will be fixed at earliest.  We are resolving this case from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.",439435 1/11/2019 4:11:51 PM  In Progress  Vishnu Priya K    673898 1/11/2019 4:05:07 PM  a  Subhashini S   ,Unable to unfreeze at applens starting from 2nd January,"439435 1/11/2019 4:26:42 PM  Hi Vignesh,  Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033484160""  Issue Description: Facing issues in App Lens Approve/unfreeze screen  Information Provided:   As discussed on Skype, please be informed that we request you to select the date from calendar picker and unfreeze/approve the timesheet since we are facing issues in graph and when you click on graph, it will show 2018 data.  Our technical team is working on the same and will be fixed at earliest.  We are resolving this case from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.  Vishnu Priya K    ",AppLensLite,3
L1 (AVM Tools & Portals),AppLensLite,Queries on Debt configuration,Clarification on DD template for Debt management,"Dear Banu ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033482924  Request:  We understand from your description that, Clarification on DD template for Debt management  Resolution:  Please be informed that, as discussed on call,the cause code is mandatory for debt in AppLens.  Request you to download the template and provide the required fields and upload the same.  The users will be able to view the debt mandatory fields while closing the ticket and they have to select the cause code and resolution code manually from drop down.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",625820 1/11/2019 3:49:57 PM  In Progress  Keerthana G S   ,"For Debt Management enablement, in DD template cause code will be automatically mapped or manually to be selected by analysts","673898 1/11/2019 4:52:31 PM  Dear Banu ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033482924  Request:  We understand from your description that, Clarification on DD template for Debt management  Resolution:  Please be informed that, as discussed on call,the cause code is mandatory for debt in AppLens.  Request you to download the template and provide the required fields and upload the same.  The users will be able to view the debt mandatory fields while closing the ticket and they have to select the cause code and resolution code manually from drop down.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S   ",AppLensLite,4
L1 (AVM Tools & Portals),AppLensLite,How to unfreeze timesheet,How to add/delete users in AppLens,"Dear Kishore ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033481152  Request:  We understand from your description that, How to add/delete users in AppLens  Resolution:  Please be informed that, as discussed on IM,as per AppLens functionality you will not be able to unfreeze the timesheet for more than 30 days and enter the efforts for the same.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",439435 1/11/2019 2:57:51 PM  In Progress  Vishnu Priya K   ,"Hi team,  I am not able to fill my applens time sheet from 03_12_2019 to 10_12_2018.  Could you please assist me how to fill my worked hours for the respected dates in Cognizant applens time sheet.","673898 1/11/2019 3:20:35 PM  Dear Kishore ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033481152  Request:  We understand from your description that, How to add/delete users in AppLens  Resolution:  Please be informed that, as discussed on IM,as per AppLens functionality you will not be able to unfreeze the timesheet for more than 30 days and enter the efforts for the same.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S   ",AppLensLite,5
L1 (AVM Tools & Portals),AppLensLite,How to unfreeze timesheet,Issues in AppLensLite timesheet,"Hi Manimekalai,   Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033481045""  Issue Description: Facing issues in App Lens Approve/unfreeze screen  Information Provided:   As discussed on Skype, please be informed that we request you to select the date from calendar picker and unfreeze/approve the timesheet since we are facing issues in graph and when you click on graph, it will show 2018 data.  Our technical team is working on the same and will be fixed at earliest.  We are resolving this case from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.",439435 1/11/2019 2:57:12 PM  In Progress  Vishnu Priya K   ,"Im not able to unfreeze for jan 2,7,8 and 9. For Jan 6 it it unfrozen but im not able to submit the timesheet.  Also im seeing mismatch in the effort showed. instead of 8 hours it shows 6 hours or 7 hours like that even if i didnt enter any effort for the day.  So please help me on this issue.","439435 1/11/2019 3:34:06 PM  Hi Manimekalai,   Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033481045""  Issue Description: Facing issues in App Lens Approve/unfreeze screen  Information Provided:   As discussed on Skype, please be informed that we request you to select the date from calendar picker and unfreeze/approve the timesheet since we are facing issues in graph and when you click on graph, it will show 2018 data.  Our technical team is working on the same and will be fixed at earliest.  We are resolving this case from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.  Vishnu Priya K    ",AppLensLite,6
AppLensLite_L2,AVM 1Capp,Reports,AVM 1CAPP Need release reason code report,"Keywords : 1CAPP,  Release Reason Code Issue Notes: Need Report From 1CAPP Cause Code :  NA Resolution Code : provided the report",597603 1/11/2019 3:51:43 PM  //  SRI RAM    673941 1/11/2019 2:34:37 PM  /  Harish R    673941 1/11/2019 2:34:26 PM  /  Harish R   ,"Hi Team,  please help me with the release reason code from Jan 2018 till 31st jan 2019.  please provided the details asap to update the leadership team  Thanks & Regards Kalpana S","597603 1/11/2019 3:52:39 PM  Hi Kalpana,  As requested, we have provided the reason code from Jan 2018 till 31st jan 2019.  Thank you  SRI RAM    ",AVM 1Capp,7
L1 (AVM Tools & Portals),AppLens,How to update Timesheet Approver,Effort raw data,,625820 1/14/2019 12:42:43 PM  In Progress  Keerthana G S    673898 1/11/2019 2:15:52 PM  a  Subhashini S   ,Measure - Actual Effort (from Applens) Period - Dec'18 data  Service- All Services Projects - Projects migrated to Applens only.  Field required (required all field even though information missing)  EsaProjectID ProjectName TicketNo ServiceName TimesheetDate TechnologyName cognizantID CognizantName Effort  Place the data in below path https://ch1hub.cognizant.com/sites/SC498/Delivery%20Kaizen/QOS_Nov16_IntrimReport/Forms/AllItems.aspx,"625820 1/14/2019 12:43:55 PM  Dear Thothathiri ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033479819   Request:  We understand from your description that, Effort raw data  Resolution:  Please be informed that, the effort data for applens is placed in the requested shared path under May effort folder.  Hence , We are changing the case as resolved  Kindly  reach us for further queries  Regards,  AVMCoETechDesk.   Keerthana G S    625820 1/11/2019 5:25:22 PM  Dear Thothathiri ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033479819  Request:  We understand from your description that, Effort raw data  Resolution:  Please be informed that, the effort data for applens is placed in the requested shared path under May effort folder.  Kindly update on the ticket by logging into https://gsd.cognizant.com  Regards,  AVMCoETechDesk.   Keerthana G S   ",AppLensLite,8
L1 (AVM Tools & Portals),AppLensLite,Need clarification in the timesheet reports,Effort raw data,,"625820 1/14/2019 12:44:43 PM  In Progress  Keerthana G S    673898 1/11/2019 2:49:34 PM  a  Subhashini S    711441 1/11/2019 2:48:21 PM  Hi Team,  Kindly assist the user.  Warm Regards,  Simplified L0 Team.   Rity Elizabeth Kurian   ",Measure - Actual Effort  Period - Dec'18 data  Service- All Services Projects - All projects in AVMDART  Field required (required all field even though information missing)  EsaProjectID ProjectName TicketNo ServiceName TimesheetDate TechnologyName cognizantID CognizantName Effort  Place the data in below path https://ch1hub.cognizant.com/sites/SC498/Delivery%20Kaizen/QOS_Nov16_IntrimReport/Forms/AllItems.aspx,"625820 1/14/2019 12:45:54 PM  Dear Thothathiri ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033479781   Request:  We understand from your description that, Effort raw data  Resolution:  Please be informed that, the effort data for applens is placed in the requested shared path under May effort folder.  Hence, We are changing the case as "" Resolved""  Kindly  reach us for further queries  Regards,  AVMCoETechDesk.   Keerthana G S    625820 1/11/2019 5:26:12 PM  Dear Thothathiri ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033479781  Request:  We understand from your description that, Effort raw data  Resolution:  Please be informed that, the effort data for applens is placed in the requested shared path under May effort folder.  Kindly update on the ticket by logging into https://gsd.cognizant.com  Regards,  AVMCoETechDesk.   Keerthana G S    Sinnochamps 1/11/2019 2:15:15 PM  Dear Thothathiri,  Thank you for reaching IT Application Support.   Our Support engineer Rity has started working on your request and will share the update as soon as possible.   Rity shall reach you, if any additional information is required.   Regards, IT Application Support.  S innochamps    Sinnochamps 1/11/2019 2:15:15 PM  Dear Thothathiri,  Your request has been assigned to one of our team members.  S innochamps   ",AppLensLite,9
AVMPMO_L2,AVM PMO,Others,AVM PMO related issues,,"597603 1/11/2019 1:11:42 PM  WIP  SRI RAM    439435 1/11/2019 1:09:04 PM  Hi Team,  Pl move the below SO's to 2.1 IS Profiles Yet to be shared and confirm.  30963931 30963641   Warm Regards, AVM PMO Support.  Vishnu Priya K   ","Hi Team,  Pl move the below SO's to 2.1 IS Profiles Yet to be shared and confirm.  30963931 30963641   Thanks, Karthik.",597603 1/11/2019 1:13:48 PM  Below SO's updated to 2.1 IS Profiles Yet to be shared   30963931 30963641   SRI RAM   ,AVMPMO,10
